sheet,cell,formula,cached_value
T1,J61,"=IF(C61=0,0,(C61/100)*(D61/100)*F61)",0
T1,K61,=J61/0.8,0
T1,J62,"=IF(C62=0,0,(C62/100)*(D62/100)*F62)",0
T1,K62,=J62/0.8,0
T1,C63,=C58,117.4
T1,D63,"=IF(D58>80,9.4,7)",9.4
T1,E63,"=IF($C$15=""Pin raboté 4 faces"",""Barres 21 R4F"",""Barres 19 mm"")",Barres 21 R4F
T1,J63,"=IF(C63=0,0,(C63/100)*(D63/100)*F63)",0.44142400000000004
T1,K63,=J63/0.8,0.55178
T1,L63,"=IF(E63=0,0,VLOOKUP(E63,'Prix Matiere'!$A$4:$J$65,10))",18.969072164948454
T1,M63,=L63*K63,10.466754639175258
T1,N63,"=IF(J63=0,0,1+(11*J63))",5.855664000000001
T1,O63,=N63*MinuteMO,4.977314400000001
T1,Q63,"=IF(J63=0,0,J63*VLOOKUP(E63,'Prix Matiere'!$A$4:$L$60,12))",4.41424
T1,R63,"=IF(J63=0,0,Q63*VLOOKUP(E63,'Prix Matiere'!$A$4:$L$60,11))",2.13649216
T1,C64,"=IF(D58=0,0,D58-2*D63)",98.60000000000001
T1,D64,=D63,9.4
T1,E64,"=IF($C$15=""Pin raboté 4 faces"",""Barres 21 R4F"",""Barres 19 mm"")",Barres 21 R4F
T1,F64,=4,4
T1,J64,"=IF(C64=0,0,(C64/100)*(D64/100)*F64)",0.37073600000000007
T1,K64,=J64/0.8,0.46342000000000005
T1,L64,"=IF(E64=0,0,VLOOKUP(E64,'Prix Matiere'!$A$4:$J$65,10))",18.969072164948454
T1,M64,=L64*K64,8.790647422680413
T1,N64,"=IF(J64=0,0,1+(11*J64))",5.078096
T1,O64,=N64*MinuteMO,4.316381600000001
T1,Q64,"=IF(J64=0,0,J64*VLOOKUP(E64,'Prix Matiere'!$A$4:$L$60,12))",3.7073600000000004
T1,R64,"=IF(J64=0,0,Q64*VLOOKUP(E64,'Prix Matiere'!$A$4:$L$60,11))",1.79436224
T1,C65,=C63,117.4
T1,D65,"=IF($D$44<14.4,$D$44,7)",7
T1,E65,"=IF($C$15=""Pin raboté 4 faces"",""Barres 21 R4F"",""Barres 19 mm"")",Barres 21 R4F
T1,F65,"=IF(D44<14.4,2,4)",4
T1,J65,"=IF(C65=0,0,(C65/100)*(D65/100)*F65)",0.32872000000000007
T1,K65,=J65/0.8,0.41090000000000004
T1,L65,"=IF(E65=0,0,VLOOKUP(E65,'Prix Matiere'!$A$4:$J$65,10))",18.969072164948454
T1,M65,=L65*K65,7.7943917525773205
T1,N65,"=IF(J65=0,0,1+(11*J65))",4.615920000000001
T1,O65,=N65*MinuteMO,3.9235320000000007
T1,Q65,"=IF(J65=0,0,J65*VLOOKUP(E65,'Prix Matiere'!$A$4:$L$60,12))",3.287200000000001
T1,R65,"=IF(J65=0,0,Q65*VLOOKUP(E65,'Prix Matiere'!$A$4:$L$60,11))",1.5910048000000003
T1,B66,=C23,Skis
T1,C66,"=IF(C58=0,0,IF(B66=""Skis"",C58-10,IF(B66=""10 dessous en semelles"",D46,IF(B66=""10 dessous en skis"",(C63-70)/2))))",107.4
T1,D66,"=IF($F$10=""BOVIS"",9.4,7)",7
T1,E66,"=IF($C$23=""Skis"",""Barres 30 R4F"",""Semelles R4F"")",Barres 30 R4F
T1,F66,"=IF(B66=""Skis"",2,IF(B66=""10 dessous en semelles"",2,F65))",2
T1,J66,"=IF(C66=0,0,(C66/100)*(D66/100)*F66)",0.15036000000000002
T1,K66,=J66/0.8,0.18795
T1,L66,"=IF(E66=0,0,VLOOKUP(E66,'Prix Matiere'!$A$4:$J$65,10))",45.43298969072164
T1,M66,=L66*K66,8.539130412371133
T1,N66,"=IF(J66=0,0,1+(11*J66))",2.6539600000000005
T1,O66,=N66*MinuteMO,2.2558660000000006
T1,Q66,"=IF(J66=0,0,J66*VLOOKUP(E66,'Prix Matiere'!$A$4:$L$60,12))",1.5036000000000003
T1,R66,"=IF(J66=0,0,Q66*VLOOKUP(E66,'Prix Matiere'!$A$4:$L$60,11))",0.7277424000000001
T1,C67,"=IF(D44<14.4,0,D44)",16
T1,D67,"=IF(D44<14.4,0,D63)",9.4
T1,E67,"=IF($C$15=""Pin raboté 4 faces"",""Barres 21 R4F"",""Barres 19 mm"")",Barres 21 R4F
T1,F67,"=IF(D44<14.4,0,4)",4
T1,J67,"=IF(C67=0,0,(C67/100)*(D67/100)*F67)",0.06016
T1,K67,=J67/0.8,0.07519999999999999
T1,L67,"=IF(E67=0,0,VLOOKUP(E67,'Prix Matiere'!$A$4:$J$65,10))",18.969072164948454
T1,M67,=L67*K67,1.4264742268041235
T1,N67,"=IF(J67=0,0,1+(11*J67))",1.6617600000000001
T1,O67,=N67*MinuteMO,1.412496
T1,Q67,"=IF(J67=0,0,J67*VLOOKUP(E67,'Prix Matiere'!$A$4:$L$60,12))",0.6016
T1,R67,"=IF(J67=0,0,Q67*VLOOKUP(E67,'Prix Matiere'!$A$4:$L$60,11))",0.2911744
T1,C68,"=IF(D44<14.4,E44,C60-2*D67)",91.4
T1,D68,"=IF($D$44<14.4,$D$44,IF($D$44<20,5,7))",5
T1,E68,"=IF($C$15=""Pin raboté 4 faces"",""Barres 21 R4F"",""Barres 19 mm"")",Barres 21 R4F
T1,F68,"=IF(D44<14.4,2,4)",4
T1,J68,"=IF(C68=0,0,(C68/100)*(D68/100)*F68)",0.18280000000000002
T1,K68,=J68/0.8,0.2285
T1,L68,"=IF(E68=0,0,VLOOKUP(E68,'Prix Matiere'!$A$4:$J$65,10))",18.969072164948454
T1,M68,=L68*K68,4.334432989690722
T1,N68,"=IF(J68=0,0,1+(11*J68))",3.0108
T1,O68,=N68*MinuteMO,2.55918
T1,Q68,"=IF(J68=0,0,J68*VLOOKUP(E68,'Prix Matiere'!$A$4:$L$60,12))",1.8280000000000003
T1,R68,"=IF(J68=0,0,Q68*VLOOKUP(E68,'Prix Matiere'!$A$4:$L$60,11))",0.8847520000000001
T1,B69,"=IF(D44<14.4,0,IF(C21=""Bois"",""Poignées"",IF(C21=""Métal x 2 sur bouts"",""Supports poignées"",0)))",Poignées
T1,C69,"=IF(B69=""Poignées"",D60+VLOOKUP(C13,B132:E134,4)*2+4.2,IF(B69=""Supports poignées"",D60-2*D68,0))",23.2
T1,D69,"=IF(B69=""Poignées"",7,IF(B69=""Supports poignées"",9.4,0))",7
T1,F69,"=IF(B69=0,0,2)",2
T1,J69,"=IF(C69=0,0,(C69/100)*(D69/100)*F69)",0.03248
T1,K69,=J69/0.8,0.0406
T1,L69,"=IF(E69=0,0,VLOOKUP(E69,'Prix Matiere'!$A$4:$J$65,10))",18.969072164948454
T1,M69,=L69*K69,0.7701443298969072
T1,N69,"=IF(J69=0,0,1+(11*J69))",1.35728
T1,O69,=N69*MinuteMO,1.153688
T1,Q69,"=IF(J69=0,0,J69*VLOOKUP(E69,'Prix Matiere'!$A$4:$L$60,12))",0.32480000000000003
T1,R69,"=IF(J69=0,0,Q69*VLOOKUP(E69,'Prix Matiere'!$A$4:$L$60,11))",0.15720320000000002
T1,C72,"=IF(F72=0,0,C44)",0
